Ticker
AAPL
MSFT
AMZN
FB
GOOGL
GOOG
BRK.B
TSLA
NVDA
JPM
JNJ
V
UNH
HD
PYPL
PG
MA
DIS
BAC
ADBE
CMCSA
XOM
NFLX
VZ
CRM
INTC
CSCO
PFE
KO
ABT
T
PEP
CVX
NKE
ABBV
TMO
MRK
ACN
WMT
AVGO
LLY
WFC
TXN
COST
MCD
DHR
MDT
QCOM
PM
HON
UPS
LIN
BMY
UNP
ORCL
C
NEE
AMGN
LOW
MS
INTU
SBUX
RTX
BA
GS
BLK
AMAT
IBM
AMT
TGT
CAT
GE
MMM
AMD
ISRG
DE
AXP
SCHW
NOW
CVS
CHTR
SPGI
ANTM
LMT
BKNG
ZTS
FIS
LRCX
MU
PLD
MDLZ
MO
GILD
SYK
ADP
TMUS
COP
CCI
TJX
CI
PNC
USB
CME
DUK
TFC
GM
CSX
EL
FDX
ATVI
CB
MMC
BDX
EQIX
COF
CL
ILMN
NSC
ICE
EW
SHW
ADSK
FISV
SO
ITW
APD
ADI
BSX
REGN
ETN
D
MCO
EMR
F
HUM
PGR
GPN
HCA
NXPI
IDXX
NOC
WM
TWTR
AON
FCX
BIIB
ECL
VRTX
DG
NEM
EOG
JCI
ROP
KLAC
IQV
DOW
TROW
PSA
SLB
TEL
KMB
MET
A
EBAY
LHX
ROST
ALGN
MSCI
TT
CMG
EXC
GD
APTV
CNC
SPG
SNPS
SRE
DD
INFO
AEP
DLR
APH
AIG
DXCM
BK
BAX
EA
ALXN
PRU
ORLY
MCHP
PPG
ALL
PH
MPC
CARR
STZ
SYY
PXD
CDNS
PSX
TRV
MAR
MSI
IFF
CTSH
HPQ
DFS
GIS
RMD
TDG
KMI
XEL
CMI
XLNX
WELL
SBAC
HLT
YUM
PAYX
AFL
WBA
ZBH
ADM
CTAS
OTIS
MNST
FTNT
AZO
SWK
FRC
ROK
CTVA
MTD
WMB
VLO
LUV
GLW
SWKS
AME
SIVB
PCAR
MCK
DHI
ANSS
PEG
FAST
WLTW
STT
EFX
AVB
AMP
KR
VRSK
ZBRA
CBRE
AJG
NUE
KEYS
AWK
WEC
DAL
CPRT
MXIM
LEN
ES
FITB
OXY
LH
VFC
WST
EQR
BLL
VIAC
LYB
SYF
KHC
GNRC
KSU
BBY
WY
OKE
HSY
ENPH
ARE
O
ETSY
CDW
ED
ODFL
CERN
NTRS
IP
HES
FTV
EXPE
RSG
DLTR
URI
VRSN
VMC
CLX
EXR
HIG
QRVO
WAT
MKC
GRMN
IT
TSCO
DOV
XYL
MLM
KMX
PPL
TSN
EXPD
DTE
FLT
EIX
WDC
VTR
TER
CZR
HBAN
HAL
CHD
CCL
TRMB
AEE
NDAQ
STE
TTWO
ETR
FE
KEY
COO
ANET
ALB
ESS
ULTA
GWW
TDY
CFG
MAA
RF
DRI
AKAM
TFX
HPE
BR
CTLT
TYL
PAYC
RCL
POOL
MTB
CRL
GPC
NTAP
DPZ
IR
AMCR
PEAK
DRE
DGX
MGM
VTRS
FANG
NVR
CINF
CE
MKTX
CAG
STX
AES
HOLX
PKI
LVS
AVY
OMC
DVN
LB
CMS
J
ABC
BKR
CAH
UAL
IEX
BXP
K
RJF
PFG
MPWR
EMN
NLOK
TXT
INCY
PTC
MAS
UDR
PHM
CTXS
WAB
CNP
BIO
ABMD
SJM
LNT
LKQ
FMC
XRAY
EVRG
WHR
WRK
AAP
JBHT
AAL
FBHS
LDOS
BF.B
LUMN
HWM
HRL
PKG
IPG
WYNN
ALLE
ATO
CBOE
JKHY
CHRW
LYV
L
FOXA
PWR
HAS
IRM
HST
SNA
TPR
UHS
LW
BWA
LNC
FFIV
MHK
PNR
PENN
CF
MRO
MOS
HSIC
WRB
NCLH
DISH
DXC
NWL
REG
NRG
TAP
RE
NWSA
RHI
CMA
IVZ
AOS
NI
WU
AIZ
PNW
CPB
SEE
GL
KIM
JNPR
NLSN
DVA
ZION
BEN
HII
DISCK
FRT
APA
OGN
PVH
ROL
IPGP
ALK
VNO
PBCT
COG
GPS
LEG
HBI
PRGO
NOV
UNM
RL
FOX
DISCA
UAA
UA
NWS
