Ticker,P/E Ratio,P/E Percentile,P/B Ratio,P/B Percentile,P/S Ratio,P/S Percentile,D/E Ratio,D/E Percentile,% Change in Revenue (1-Year),1 Year Revenue Change Percentile,% Change in Revenue (3-Year),3 Year Revenue Change Percentile,% Change in EBITDA (1-Year),1 Year EBITDA Change Percentile,% Change in EBITDA (3-Year),3 Year EBITDA Change Percentile,Value Score,Growth Score,Total Score
CNC,55.7,13.663366336633658,1.5,87.82178217821782,0.3,98.81188118811882,0.69,58.415841584158414,48.86989375527539,98.21782178217822,129.66185771567936,97.82178217821782,67.7828692280578,95.24752475247524,172.0,97.22772277227723,64.67821782178217,97.12871287128712,90.63861386138615
LHX,32.3,46.336633663366335,2.3,73.86138613861387,2.6,61.48514851485149,0.39,79.20792079207921,167.51948242905453,100.0,208.37288135593215,99.60396039603961,70.3896103896104,95.64356435643565,89.04899135446685,92.47524752475248,65.22277227722772,96.93069306930693,90.5891089108911
VRTX,26.8,55.64356435643565,5.7,41.08910891089109,8.0,19.5049504950495,0.1,96.93069306930693,49.07518616382416,98.41584158415841,149.3370831659301,98.61386138613861,110.51282051282053,97.62376237623762,3088.349514563107,99.8019801980198,53.29207920792079,98.61386138613861,89.54950495049505
PKI,17.8,77.72277227722772,4.9,46.336633663366335,4.3,40.2970297029703,0.6,65.44554455445544,31.17198335644937,95.64356435643565,67.61187416925122,92.27722772277228,133.59223300970874,98.21782178217822,169.73094170403587,97.02970297029702,57.45049504950495,95.79207920792079,88.12376237623762
DHI,9.7,93.76237623762376,2.5,71.2871287128713,1.4,81.58415841584159,0.32,83.96039603960396,15.44932643665094,86.73267326732673,44.14165069902774,85.74257425742574,40.67234848484848,91.08910891089108,82.15818516247701,91.48514851485149,82.64851485148515,88.76237623762376,87.53960396039605
IR,50.1,17.821782178217816,2.3,73.86138613861387,3.7,45.94059405940594,0.41,77.72277227722772,100.24469820554648,99.60396039603961,106.73684210526316,97.22772277227723,29.475982532751093,86.93069306930693,193.5643564356436,98.01980198019803,53.836633663366335,95.44554455445545,87.12376237623764
FISV,65.3,9.900990099009903,2.3,73.86138613861387,4.8,37.32673267326733,0.64,62.277227722772274,45.79365858447041,98.01980198019803,160.7443820224719,98.81188118811882,58.71531025880885,94.45544554455445,158.76970005083882,96.43564356435644,45.84158415841584,96.93069306930693,86.71287128712872
GPN,58.7,12.178217821782184,1.9,79.10891089108911,6.4,27.029702970297024,0.38,80.1980198019802,51.14006514657981,98.61386138613861,86.76729559748428,95.44554455445545,50.02939447383892,92.87128712871286,150.44160942100098,95.84158415841584,49.62871287128713,95.6930693069307,86.48019801980199
AMD,39.8,36.23762376237624,19.3,9.900990099009903,10.2,14.356435643564353,0.08,97.42574257425743,45.045312732134896,97.82178217821782,83.20510414711954,94.85148514851485,131.49171270718233,98.01980198019803,394.3952802359882,99.00990099009901,39.48019801980198,97.42574257425743,85.83663366336634
TMUS,44.5,31.980198019801975,2.6,69.70297029702971,2.2,66.33663366336634,1.43,30.099009900990097,52.00008889283968,98.81188118811882,68.44892128854299,93.06930693069307,65.21774324105553,94.85148514851485,88.71116863905326,92.27722772277228,49.52970297029703,94.75247524752476,85.70792079207921
